Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
28,Self Enquiry,1,35,Salaried,Male,3,5,Deluxe,4,Divorced,2,0,1,1,2,Manager,21549,0
26,Self Enquiry,3,35,Salaried,Male,3,5,Deluxe,3,Married,4,0,4,1,2,Manager,27317,0
30,Self Enquiry,3,35,Large Business,Male,2,3,Standard,4,Married,4,0,4,0,1,Senior Manager,24250,0
27,Self Enquiry,3,35,Small Business,Male,4,4,Deluxe,4,Married,3,0,3,0,1,Manager,24950,0
38,Self Enquiry,1,35,Large Business,Male,2,3,Deluxe,3,Divorced,4,0,2,0,1,Manager,21261,0
51,Self Enquiry,1,35,Small Business,Male,4,3,Basic,3,Divorced,3,1,2,1,3,Executive,21899,0
41,Company Invited,3,35,Salaried,Male,3,6,Standard,5,Married,5,0,5,1,1,Senior Manager,29610,0
26,Self Enquiry,3,35,Salaried,Male,3,5,Deluxe,3,Divorced,4,0,4,0,1,Manager,27317,0
45,Self Enquiry,1,35,Large Business,Male,2,3,Standard,3,Divorced,5,1,5,1,0,Senior Manager,24380,0
34,Self Enquiry,1,35,Salaried,Male,4,4,Deluxe,3,Married,3,1,1,1,1,Manager,23885,0
50,Self Enquiry,1,35,Salaried,Male,2,4,Super Deluxe,3,Divorced,1,0,5,1,1,AVP,32046,0
57,Self Enquiry,3,35,Small Business,Male,2,4,Super Deluxe,3,Married,4,0,3,0,0,AVP,29118,0
51,Self Enquiry,1,35,Small Business,Male,4,2,Basic,3,Married,3,1,1,0,2,Executive,21899,0
50,Self Enquiry,1,35,Salaried,Male,2,4,Super Deluxe,3,Married,1,0,5,1,1,AVP,32046,0
44,Company Invited,1,34,Salaried,Female,3,4,Standard,5,Divorced,2,0,4,0,1,Senior Manager,29498,0
30,Self Enquiry,1,34,Small Business,Female,4,4,Deluxe,3,Divorced,6,0,2,1,1,Manager,23013,0
45,Self Enquiry,1,34,Large Business,Female,2,4,Super Deluxe,4,Single,2,0,3,1,0,AVP,31704,0
41,Self Enquiry,1,34,Salaried,Female,2,4,Super Deluxe,4,Married,1,0,5,1,1,AVP,28570,0
30,Self Enquiry,1,34,Small Business,Female,3,3,Deluxe,3,Married,2,0,3,1,2,Manager,20775,0
42,Company Invited,3,32,Small Business,Female,3,3,Super Deluxe,4,Married,6,0,3,1,1,AVP,28525,0
39,Self Enquiry,1,32,Salaried,Female,3,5,Standard,4,Divorced,5,0,3,1,1,Senior Manager,30739,0
31,Company Invited,3,32,Large Business,Female,3,4,Deluxe,3,Married,2,1,3,1,2,Manager,23414,0
22,Company Invited,1,32,Salaried,Female,2,4,Basic,3,Married,2,1,3,0,0,Executive,17814,0
40,Company Invited,1,32,Small Business,Female,2,3,Deluxe,4,Married,2,0,2,1,0,Manager,20605,0
38,Company Invited,1,32,Small Business,Female,4,4,Deluxe,3,Divorced,5,1,3,1,2,Manager,23127,0
34,Company Invited,3,32,Small Business,Female,3,4,Deluxe,3,Married,3,0,3,0,2,Manager,23217,0
34,Company Invited,3,32,Small Business,Female,3,4,Deluxe,3,Divorced,3,0,3,0,2,Manager,23217,0
38,Self Enquiry,1,32,Small Business,Female,3,5,Deluxe,3,Married,2,0,3,0,2,Manager,24409,0
20,Self Enquiry,1,32,Salaried,Female,3,2,Basic,3,Unmarried,3,1,5,1,1,Executive,21672,0
36,Self Enquiry,1,32,Small Business,Female,3,4,Standard,3,Married,3,1,3,0,2,Senior Manager,29066,0
34,Company Invited,1,32,Large Business,Female,3,4,Basic,3,Married,2,0,1,1,0,Executive,17029,0
38,Company Invited,1,32,Small Business,Female,4,4,Deluxe,3,Married,5,1,3,1,3,Manager,23127,0
38,Self Enquiry,1,32,Small Business,Female,3,5,Deluxe,3,Married,2,0,3,1,1,Manager,24409,0
27,Self Enquiry,2,32,Salaried,Female,4,4,Basic,3,Married,3,0,4,1,2,Executive,21620,0
46,Self Enquiry,1,32,Salaried,Female,4,5,Deluxe,3,Married,2,0,4,0,1,Manager,24584,0
31,Company Invited,3,32,Large Business,Female,3,4,Deluxe,3,Divorced,2,1,3,1,1,Manager,23414,0
27,Self Enquiry,2,32,Salaried,Female,4,4,Basic,3,Divorced,3,0,4,1,1,Executive,21620,0
53,Company Invited,1,32,Small Business,Female,3,5,Super Deluxe,3,Divorced,5,0,5,0,2,AVP,32504,0
53,Company Invited,1,32,Small Business,Female,3,5,Super Deluxe,3,Married,5,0,5,0,2,AVP,32504,0
42,Company Invited,1,32,Small Business,Female,2,3,Standard,5,Divorced,4,1,3,0,1,Senior Manager,28191,0
39,Self Enquiry,1,32,Salaried,Female,3,5,Standard,4,Married,5,0,3,0,2,Senior Manager,30739,0
42,Company Invited,3,32,Small Business,Female,3,3,Super Deluxe,4,Divorced,6,0,3,1,2,AVP,28525,0
23,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,1,0,1,Executive,17904,0
36,Self Enquiry,1,32,Large Business,Male,4,5,Standard,4,Married,5,0,3,1,2,Senior Manager,29581,0
46,Company Invited,3,32,Salaried,Male,3,4,Deluxe,4,Unmarried,1,0,4,1,2,Manager,22991,0
31,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,3,0,1,Executive,17911,0
36,Self Enquiry,1,32,Salaried,Male,3,3,Deluxe,3,Married,7,0,3,1,0,Manager,20347,0
55,Self Enquiry,3,32,Small Business,Male,2,4,King,3,Married,2,0,3,1,1,VP,34586,0
43,Company Invited,3,32,Salaried,Male,3,3,Super Deluxe,3,Divorced,2,1,2,0,0,AVP,31959,0
40,Company Invited,1,32,Salaried,Male,4,4,Standard,3,Divorced,5,0,1,0,1,Senior Manager,29598,0
43,Company Invited,3,32,Salaried,Male,3,3,Super Deluxe,3,Married,2,1,1,1,0,AVP,31959,0
23,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,2,1,1,Executive,17904,0
40,Self Enquiry,3,32,Small Business,Male,3,3,Deluxe,5,Married,2,0,1,1,2,Manager,23396,0
36,Self Enquiry,1,32,Salaried,Male,3,5,Deluxe,3,Unmarried,6,0,2,0,2,Manager,22359,0
31,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,3,1,1,Executive,17911,0
34,Self Enquiry,1,32,Salaried,Male,3,5,Deluxe,4,Unmarried,3,0,1,0,2,Manager,22998,0
36,Self Enquiry,1,32,Salaried,Male,3,5,Deluxe,3,Unmarried,6,0,1,1,1,Manager,22359,0
44,Self Enquiry,3,32,Small Business,Male,4,5,Standard,3,Married,7,0,4,1,2,Senior Manager,29476,0
52,Company Invited,1,31,Small Business,Female,2,4,Super Deluxe,3,Divorced,4,0,5,0,1,AVP,28826,0
26,Self Enquiry,2,31,Salaried,Female,3,3,Basic,3,Married,2,0,4,1,1,Executive,17942,0
40,Self Enquiry,3,31,Small Business,Female,3,5,Super Deluxe,3,Married,2,0,1,1,2,AVP,30709,0
45,Self Enquiry,1,31,Salaried,Female,3,4,Deluxe,3,Married,1,0,4,0,0,Manager,20906,0
59,Self Enquiry,3,31,Salaried,Female,2,3,Standard,5,Unmarried,1,0,3,1,0,Senior Manager,22637,0
49,Self Enquiry,1,31,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,0,Executive,18211,0
52,Company Invited,1,31,Small Business,Female,2,4,Super Deluxe,3,Married,4,0,5,0,1,AVP,28826,0
37,Company Invited,1,31,Salaried,Female,3,4,Deluxe,4,Married,2,0,3,1,2,Manager,24352,0
38,Self Enquiry,1,31,Salaried,Female,2,4,Standard,4,Divorced,4,0,3,1,0,Senior Manager,27061,0
37,Self Enquiry,1,31,Small Business,Female,2,4,Deluxe,3,Married,1,0,3,1,0,Manager,20731,0
45,Company Invited,1,31,Small Business,Female,2,3,King,4,Single,4,0,4,1,1,VP,33061,0
31,Self Enquiry,1,31,Salaried,Male,4,4,Basic,3,Married,3,0,2,0,2,Executive,21371,0
41,Self Enquiry,1,31,Large Business,Male,4,4,Deluxe,3,Married,3,0,3,1,2,Manager,21997,0
51,Self Enquiry,1,31,Salaried,Male,4,4,Super Deluxe,3,Married,5,1,4,1,3,AVP,32651,0
40,Self Enquiry,1,31,Salaried,Male,3,4,Deluxe,3,Unmarried,2,0,4,1,1,Manager,22786,0
33,Company Invited,1,31,Salaried,Male,4,4,Deluxe,3,Divorced,3,0,4,1,1,Manager,23987,0
47,Self Enquiry,1,31,Small Business,Male,2,3,Standard,3,Unmarried,3,0,3,1,0,Senior Manager,23633,0
33,Company Invited,1,31,Salaried,Male,4,4,Deluxe,3,Married,3,0,4,1,3,Manager,23987,0
31,Self Enquiry,1,31,Salaried,Male,4,4,Basic,3,Married,3,0,3,1,3,Executive,21371,0
51,Self Enquiry,1,31,Salaried,Male,4,4,Super Deluxe,3,Divorced,5,1,4,0,1,AVP,32651,0
45,Company Invited,1,31,Small Business,Male,3,6,Basic,3,Unmarried,4,0,3,0,2,Executive,22386,0
43,Self Enquiry,1,31,Small Business,Male,3,4,Standard,5,Married,3,1,1,1,1,Senior Manager,26084,0
35,Self Enquiry,1,31,Large Business,Male,3,4,Standard,4,Divorced,4,0,3,1,1,Senior Manager,25903,0
46,Self Enquiry,2,31,Small Business,Male,3,4,Basic,4,Single,3,0,4,0,1,Executive,20855,0
54,Self Enquiry,1,31,Small Business,Male,3,2,Standard,3,Married,5,0,3,0,2,Senior Manager,25683,0
45,Company Invited,1,31,Small Business,Male,3,6,Basic,3,Unmarried,4,0,3,0,1,Executive,22386,0
25,Self Enquiry,1,31,Small Business,Male,3,4,Basic,4,Unmarried,2,0,5,1,1,Executive,22275,0
58,Self Enquiry,1,31,Salaried,Male,3,3,Standard,3,Married,5,1,4,1,2,Senior Manager,28117,0
25,Company Invited,3,31,Small Business,Male,3,4,Basic,3,Divorced,2,0,4,0,2,Executive,21078,0
43,Self Enquiry,3,31,Small Business,Male,3,4,Standard,3,Married,6,0,4,1,1,Senior Manager,25798,0
43,Self Enquiry,1,31,Small Business,Male,3,4,Standard,5,Divorced,3,1,2,1,2,Senior Manager,26084,0
46,Self Enquiry,2,31,Small Business,Male,3,4,Basic,4,Single,3,0,4,0,2,Executive,20855,0
35,Self Enquiry,1,31,Large Business,Male,3,4,Standard,4,Married,4,0,3,1,1,Senior Manager,25903,0
27,Self Enquiry,3,30,Small Business,Female,3,5,Deluxe,3,Divorced,2,1,2,1,1,Manager,22835,0
54,Self Enquiry,1,30,Salaried,Female,4,4,Super Deluxe,3,Single,8,0,5,1,2,AVP,32953,0
27,Self Enquiry,3,30,Small Business,Female,3,5,Deluxe,3,Married,2,1,1,0,1,Manager,22835,0
36,Self Enquiry,1,30,Small Business,Female,2,4,Basic,5,Divorced,5,1,4,1,1,Executive,22692,0
28,Self Enquiry,3,30,Small Business,Female,3,5,Deluxe,3,Married,3,0,1,1,2,Manager,22218,0
31,Company Invited,1,30,Large Business,Female,1,3,Deluxe,3,Single,3,0,1,1,0,Manager,20238,0
31,Self Enquiry,1,30,Small Business,Female,3,4,Deluxe,5,Unmarried,2,0,5,0,2,Manager,21812,0
39,Self Enquiry,3,30,Small Business,Female,2,4,Super Deluxe,3,Married,1,0,1,1,1,AVP,27031,0
36,Self Enquiry,1,30,Small Business,Female,2,4,Basic,5,Married,5,1,4,0,1,Executive,22692,0
36,Company Invited,1,30,Salaried,Female,2,3,Deluxe,4,Divorced,1,0,3,0,0,Manager,20674,0
31,Self Enquiry,1,30,Small Business,Female,3,4,Deluxe,5,Unmarried,2,0,5,1,0,Manager,21812,0
32,Company Invited,1,30,Salaried,Male,3,3,Deluxe,3,Divorced,2,0,4,1,0,Manager,20309,0
35,Company Invited,3,30,Small Business,Male,4,4,Deluxe,3,Unmarried,2,0,5,0,2,Manager,23246,0
36,Self Enquiry,1,30,Small Business,Male,4,6,Basic,3,Married,2,0,1,1,1,Executive,21383,0
59,Self Enquiry,1,30,Salaried,Male,3,4,Basic,3,Married,3,0,3,1,2,Executive,21050,0
45,Self Enquiry,2,30,Small Business,Male,2,3,Basic,4,Single,2,0,4,0,1,Executive,17177,0
42,Self Enquiry,1,30,Small Business,Male,2,3,Standard,5,Married,2,1,1,1,0,Senior Manager,22406,0
57,Self Enquiry,1,30,Salaried,Male,2,2,Standard,3,Married,4,1,4,1,1,Senior Manager,24439,0
45,Self Enquiry,2,30,Small Business,Male,2,3,Basic,4,Single,2,0,4,0,0,Executive,17177,0
53,Self Enquiry,1,30,Small Business,Male,2,1,Standard,3,Married,4,0,3,0,1,Senior Manager,22005,0
46,Company Invited,1,30,Salaried,Male,3,4,Deluxe,5,Divorced,3,1,2,1,1,Manager,22311,0
32,Self Enquiry,1,30,Small Business,Male,4,5,Deluxe,3,Divorced,2,0,3,1,2,Manager,24260,0
32,Self Enquiry,1,30,Small Business,Male,4,5,Deluxe,3,Married,2,0,3,0,2,Manager,24260,0
40,Self Enquiry,1,30,Large Business,Male,3,3,Deluxe,3,Married,2,0,3,1,1,Manager,18319,0
42,Self Enquiry,3,30,Salaried,Male,4,4,Standard,3,Unmarried,5,1,3,0,3,Senior Manager,25760,0
39,Company Invited,1,30,Salaried,Male,3,5,Standard,3,Unmarried,2,0,3,1,1,Senior Manager,28204,0
37,Company Invited,1,30,Small Business,Male,3,2,Deluxe,3,Married,6,0,3,0,1,Manager,21249,0
43,Company Invited,1,30,Salaried,Male,3,5,Deluxe,3,Unmarried,3,0,3,1,2,Manager,23010,0
39,Company Invited,1,30,Salaried,Male,3,5,Standard,3,Unmarried,2,0,3,0,1,Senior Manager,28204,0
50,Self Enquiry,1,30,Salaried,Male,3,3,Super Deluxe,3,Married,4,1,4,1,2,AVP,28973,0
35,Company Invited,3,30,Small Business,Male,4,4,Deluxe,3,Unmarried,2,0,5,1,2,Manager,23246,0
57,Self Enquiry,1,30,Salaried,Male,4,4,Super Deluxe,4,Divorced,6,1,4,1,3,AVP,32080,0
45,Company Invited,1,30,Small Business,Male,4,4,Deluxe,4,Married,6,0,3,0,2,Manager,20720,0
30,Self Enquiry,1,30,Salaried,Male,3,2,Basic,3,Married,3,0,1,1,2,Executive,21378,0
30,Self Enquiry,1,30,Salaried,Male,3,3,Basic,3,Married,2,0,3,1,2,Executive,17693,0
31,Company Invited,1,30,Salaried,Male,4,6,Basic,3,Married,3,0,3,0,1,Executive,21291,0
57,Self Enquiry,1,30,Salaried,Male,2,1,Standard,3,Married,4,1,4,1,0,Senior Manager,24439,0
30,Self Enquiry,1,30,Salaried,Male,3,4,Basic,3,Single,2,0,3,0,1,Executive,20879,0
24,Company Invited,3,30,Small Business,Male,2,3,Basic,3,Divorced,1,0,4,0,1,Executive,17400,0
31,Company Invited,1,30,Salaried,Male,4,6,Basic,3,Married,3,0,3,1,3,Executive,21291,0
30,Self Enquiry,1,30,Salaried,Male,3,2,Basic,3,Divorced,3,0,2,1,2,Executive,21378,0
25,Self Enquiry,1,30,Small Business,Male,3,3,Basic,3,Divorced,3,1,4,0,2,Executive,21403,0
42,Self Enquiry,1,30,Small Business,Male,2,3,Standard,5,Divorced,2,1,2,1,1,Senior Manager,22406,0
24,Company Invited,3,30,Small Business,Male,2,3,Basic,3,Married,1,0,4,1,1,Executive,17400,0
46,Company Invited,1,30,Salaried,Male,3,4,Deluxe,5,Married,3,1,1,1,1,Manager,22311,0
50,Self Enquiry,1,30,Salaried,Male,3,3,Super Deluxe,3,Divorced,4,1,4,0,0,AVP,28973,0
39,Self Enquiry,1,30,Salaried,Male,3,4,Deluxe,3,Married,2,0,3,0,2,Manager,24423,0
40,Company Invited,1,29,Small Business,Female,3,4,Standard,5,Single,3,1,5,1,1,Senior Manager,29558,0
40,Company Invited,1,29,Small Business,Female,3,4,Standard,5,Single,3,1,5,1,2,Senior Manager,29558,0
36,Self Enquiry,1,29,Salaried,Female,4,2,Standard,4,Married,2,0,5,1,3,Senior Manager,30674,0
26,Self Enquiry,1,29,Salaried,Female,2,3,Basic,3,Married,2,0,3,0,0,Executive,17886,0
36,Self Enquiry,1,29,Salaried,Female,4,3,Standard,4,Married,2,0,5,1,2,Senior Manager,30674,0
31,Company Invited,3,29,Salaried,Female,4,4,Standard,5,Divorced,2,0,2,1,1,Senior Manager,27090,0
31,Company Invited,3,29,Salaried,Female,4,4,Standard,5,Married,2,0,1,1,2,Senior Manager,27090,0
42,Self Enquiry,1,29,Salaried,Female,2,3,Super Deluxe,3,Single,3,0,3,0,0,AVP,30992,0
53,Self Enquiry,1,29,Salaried,Female,3,3,Super Deluxe,3,Single,7,0,5,1,1,AVP,29275,0
26,Self Enquiry,1,29,Salaried,Female,2,3,Basic,3,Married,2,0,3,1,1,Executive,17886,0
36,Self Enquiry,1,29,Salaried,Male,3,6,Basic,3,Unmarried,2,0,4,1,1,Executive,22908,0
22,Self Enquiry,3,29,Large Business,Male,3,4,Basic,3,Unmarried,3,0,1,0,1,Executive,22125,0
41,Self Enquiry,3,29,Salaried,Male,3,3,Standard,3,Unmarried,4,1,3,0,2,Senior Manager,22082,0
29,Self Enquiry,1,29,Salaried,Male,2,1,Basic,3,Divorced,2,0,2,1,1,Executive,17700,0
24,Self Enquiry,1,29,Small Business,Male,2,2,Basic,3,Divorced,2,1,4,0,1,Executive,17725,0
38,Self Enquiry,1,29,Salaried,Male,2,3,Deluxe,3,Married,1,0,3,0,0,Manager,20745,0
29,Self Enquiry,1,29,Salaried,Male,2,1,Basic,3,Married,2,0,1,1,1,Executive,17700,0
29,Self Enquiry,1,29,Salaried,Male,2,3,Basic,3,Single,1,0,3,0,0,Executive,17201,0
31,Self Enquiry,1,29,Small Business,Male,3,4,Deluxe,3,Divorced,1,0,3,1,1,Manager,20582,0
35,Company Invited,1,29,Salaried,Male,3,5,Deluxe,3,Married,3,1,1,1,1,Manager,24425,0
58,Self Enquiry,1,29,Salaried,Male,2,3,Basic,3,Married,2,0,3,1,1,Executive,17372,0
36,Self Enquiry,1,29,Salaried,Male,3,6,Basic,3,Unmarried,2,0,4,1,2,Executive,22908,0
34,Company Invited,3,29,Small Business,Male,4,4,Deluxe,4,Divorced,2,0,2,0,2,Manager,24824,0
30,Company Invited,1,29,Salaried,Male,3,5,Basic,3,Married,2,0,3,0,0,Executive,17613,0
56,Self Enquiry,1,29,Large Business,Male,4,5,Basic,4,Married,7,0,1,1,2,Executive,22215,0
38,Company Invited,1,29,Salaried,Male,2,4,Standard,3,Unmarried,1,0,3,0,0,Senior Manager,24526,0
44,Company Invited,1,29,Small Business,Male,3,3,Deluxe,4,Married,5,0,3,0,1,Manager,17042,0
56,Self Enquiry,1,29,Salaried,Male,3,3,Super Deluxe,4,Divorced,5,1,4,1,2,AVP,28402,0
35,Self Enquiry,1,29,Small Business,Male,3,5,Basic,3,Married,1,0,1,1,0,Executive,17705,0
44,Company Invited,1,29,Small Business,Male,3,3,Deluxe,4,Divorced,5,0,3,1,0,Manager,17042,0
24,Self Enquiry,1,29,Small Business,Male,2,1,Basic,3,Married,2,1,4,0,0,Executive,17725,0
22,Self Enquiry,3,29,Large Business,Male,3,4,Basic,3,Unmarried,3,0,2,1,2,Executive,22125,0
29,Self Enquiry,1,29,Salaried,Male,2,3,Basic,3,Single,1,0,3,1,0,Executive,17201,0
31,Self Enquiry,1,29,Small Business,Male,3,4,Deluxe,3,Married,1,0,3,0,1,Manager,20582,0
30,Company Invited,1,29,Salaried,Male,3,5,Basic,3,Married,2,0,3,1,2,Executive,17613,0
38,Company Invited,1,29,Salaried,Male,2,4,Standard,3,Unmarried,1,0,3,1,0,Senior Manager,24526,0
48,Company Invited,1,28,Small Business,Female,2,3,Super Deluxe,3,Married,4,0,5,0,0,AVP,32174,0
36,Self Enquiry,1,28,Salaried,Female,3,4,Deluxe,3,Divorced,3,1,3,0,2,Manager,22692,0
43,Company Invited,1,28,Small Business,Female,3,4,Deluxe,3,Married,4,0,2,0,1,Manager,23943,0
30,Company Invited,3,28,Salaried,Female,3,3,Standard,5,Married,1,0,1,1,1,Senior Manager,23412,0
30,Self Enquiry,1,28,Salaried,Female,3,2,Standard,5,Married,3,0,5,1,2,Senior Manager,28658,0
35,Self Enquiry,1,28,Salaried,Female,3,1,Standard,4,Married,1,0,5,1,2,Senior Manager,26996,0
36,Self Enquiry,1,28,Salaried,Female,3,4,Deluxe,3,Married,3,1,3,0,1,Manager,22692,0
30,Self Enquiry,1,28,Salaried,Female,3,3,Standard,5,Married,3,0,5,1,2,Senior Manager,28658,0
41,Company Invited,1,28,Salaried,Female,3,3,Deluxe,3,Married,4,1,5,0,0,Manager,20467,0
54,Self Enquiry,1,28,Small Business,Female,3,3,Super Deluxe,3,Married,4,0,1,1,1,AVP,32426,0
49,Self Enquiry,1,28,Salaried,Female,3,3,Super Deluxe,4,Married,4,0,4,0,1,AVP,31413,0
40,Company Invited,3,28,Salaried,Female,3,6,Deluxe,3,Married,8,0,5,0,1,Manager,24414,0
43,Company Invited,1,28,Small Business,Female,3,4,Deluxe,3,Married,4,0,1,0,1,Manager,23943,0
30,Company Invited,3,28,Salaried,Female,3,3,Standard,5,Divorced,1,0,2,1,0,Senior Manager,23412,0
38,Company Invited,3,28,Small Business,Female,3,4,Basic,3,Divorced,7,0,2,1,2,Executive,21651,0
33,Company Invited,3,28,Small Business,Male,3,3,Deluxe,4,Married,1,0,1,0,0,Manager,21146,0
34,Self Enquiry,1,28,Small Business,Male,4,2,Basic,4,Married,3,0,1,1,2,Executive,20706,0
21,Self Enquiry,3,28,Small Business,Male,3,2,Basic,3,Unmarried,3,0,3,0,1,Executive,21356,0
38,Self Enquiry,1,28,Salaried,Male,4,3,Basic,5,Divorced,3,1,3,0,3,Executive,22242,0
35,Self Enquiry,3,28,Salaried,Male,4,3,Deluxe,3,Unmarried,3,0,3,1,1,Manager,24015,0
21,Self Enquiry,3,28,Small Business,Male,3,2,Basic,3,Unmarried,3,0,3,1,2,Executive,21356,0
38,Self Enquiry,1,28,Salaried,Male,4,2,Basic,5,Married,3,1,3,1,1,Executive,22242,0
44,Company Invited,1,28,Small Business,Male,4,4,Basic,3,Married,2,0,4,1,3,Executive,20936,0
52,Self Enquiry,3,28,Small Business,Male,4,4,Deluxe,3,Unmarried,2,1,5,1,2,Manager,24119,0
25,Self Enquiry,1,28,Large Business,Male,3,5,Basic,5,Married,2,0,3,0,1,Executive,20974,0
52,Self Enquiry,3,28,Small Business,Male,4,4,Deluxe,3,Unmarried,2,1,5,0,3,Manager,24119,0
33,Company Invited,3,28,Small Business,Male,3,3,Deluxe,4,Divorced,1,0,2,0,1,Manager,21146,0
46,Self Enquiry,3,27,Salaried,Female,3,4,Deluxe,3,Unmarried,2,0,1,1,1,Manager,23528,0
28,Company Invited,3,27,Salaried,Female,3,4,Deluxe,3,Single,3,0,1,1,2,Manager,28659,0
50,Self Enquiry,1,27,Small Business,Female,4,4,Deluxe,5,Divorced,3,0,2,1,3,Manager,25245,0
